                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.1777,                0.53219,                 1.1865,                0.96642,                0.94914,                0.98513,                0.67037,                 1.1604,                0.51235,                 1.4088,                0.00868,                0.00868,                0.00868
                     82,                 1.1803,                0.52138,                 1.1476,                0.95256,                0.98002,                0.98641,                0.68324,                 1.1461,                0.48212,                 1.4074,              0.0086635,              0.0086635,              0.0086635
                     83,                 1.1775,                0.52576,                 1.1704,                0.94728,                 0.9719,                0.98465,                 0.6719,                 1.1652,                0.49147,                 1.4307,               0.008647,               0.008647,               0.008647
                     84,                 1.1562,                0.51705,                 1.1908,                0.96925,                0.95636,                0.98436,                0.66831,                  1.167,                0.50213,                 1.4099,              0.0086305,              0.0086305,              0.0086305
                     85,                 1.1694,                0.51921,                 1.1361,                0.94901,                0.95751,                0.98178,                0.66225,                 1.1872,                0.51016,                 1.4188,               0.008614,               0.008614,               0.008614
                     86,                 1.1748,                0.51257,                 1.1486,                0.94191,                 0.9413,                0.98269,                0.65149,                 1.2322,                0.53106,                 1.4667,              0.0085975,              0.0085975,              0.0085975
                     87,                 1.1541,                0.50578,                 1.1619,                 0.9616,                0.97889,                0.98884,                0.68231,                 1.1436,                0.48032,                 1.3998,               0.008581,               0.008581,               0.008581
                     88,                 1.1532,                0.49936,                  1.146,                0.94639,                0.93165,                0.98059,                 0.6568,                 1.1891,                0.53993,                  1.416,              0.0085645,              0.0085645,              0.0085645
                     89,                  1.156,                0.50628,                 1.1742,                0.94749,                0.96174,                0.98414,                0.66751,                 1.1807,                 0.5089,                 1.4252,               0.008548,               0.008548,               0.008548
                     90,                 1.1631,                0.51054,                 1.1599,                0.92818,                0.93536,                 0.9757,                0.63923,                 1.2396,                0.56051,                 1.4563,              0.0085315,              0.0085315,              0.0085315
                     91,                 1.1574,                0.50347,                 1.1771,                0.96812,                0.96161,                0.98621,                0.67271,                 1.1726,                0.47715,                 1.4341,               0.008515,               0.008515,               0.008515
                     92,                   1.18,                0.52142,                 1.1818,                0.97005,                0.98284,                0.98652,                0.66555,                 1.1793,                0.47581,                  1.434,              0.0084985,              0.0084985,              0.0084985
                     93,                  1.151,                0.50366,                 1.1767,                0.96328,                0.97625,                0.98727,                 0.6728,                 1.1711,                0.48735,                 1.4389,               0.008482,               0.008482,               0.008482
                     94,                 1.1361,                0.49836,                 1.1554,                 0.9699,                 0.9777,                0.98842,                0.67985,                 1.1561,                0.47647,                  1.427,              0.0084655,              0.0084655,              0.0084655
                     95,                 1.1539,                 0.5009,                 1.1546,                0.94386,                0.95375,                 0.9813,                0.65705,                 1.1814,                0.53305,                 1.4292,               0.008449,               0.008449,               0.008449
                     96,                  1.154,                0.50036,                 1.1296,                0.94713,                 0.9723,                0.98492,                0.66886,                 1.1568,                0.51883,                 1.4115,              0.0084325,              0.0084325,              0.0084325
                     97,                 1.1504,                0.49248,                  1.156,                0.95601,                0.97479,                0.98558,                 0.6729,                 1.1684,                0.48739,                 1.4431,               0.008416,               0.008416,               0.008416
                     98,                 1.1451,                0.50007,                  1.177,                0.95635,                0.95388,                0.98483,                 0.6611,                 1.1864,                0.50283,                 1.4201,              0.0083995,              0.0083995,              0.0083995
