                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                 1.2027,                0.54073,                 1.2969,                0.95017,                0.94723,                0.98267,                0.66508,                  1.237,                 0.6201,                 1.4846,               0.007657,               0.007657,               0.007657
                    144,                 1.1945,                0.55041,                  1.298,                0.95773,                0.95648,                 0.9847,                0.67087,                 1.2632,                0.55519,                 1.4705,              0.0076405,              0.0076405,              0.0076405
                    145,                 1.1852,                0.54033,                  1.275,                0.96123,                 0.9486,                0.98604,                0.67324,                 1.2146,                0.55669,                  1.458,               0.007624,               0.007624,               0.007624
                    146,                 1.1788,                0.53127,                   1.28,                0.94606,                0.97187,                0.98689,                0.68088,                 1.2236,                0.53311,                 1.4601,              0.0076075,              0.0076075,              0.0076075
                    147,                 1.1864,                0.53694,                 1.2806,                0.95016,                 0.9657,                0.98689,                0.68316,                 1.1941,                0.53291,                 1.4444,               0.007591,               0.007591,               0.007591
                    148,                 1.1779,                0.53088,                 1.2911,                0.96435,                0.96363,                0.98638,                0.69074,                 1.2063,                0.52164,                 1.4306,              0.0075745,              0.0075745,              0.0075745
                    149,                 1.1936,                0.53594,                 1.2726,                0.96463,                0.97132,                0.98881,                0.69378,                 1.1869,                0.50297,                 1.4298,               0.007558,               0.007558,               0.007558
                    150,                 1.1731,                0.53827,                 1.2926,                0.94395,                0.97625,                0.98732,                0.68267,                 1.2024,                0.52541,                 1.4382,              0.0075415,              0.0075415,              0.0075415
                    151,                 1.1682,                0.53001,                 1.2778,                 0.9433,                0.97361,                0.98531,                0.68289,                 1.2424,                0.54487,                 1.4806,               0.007525,               0.007525,               0.007525
                    152,                 1.1612,                0.51968,                 1.2691,                0.96439,                0.96474,                0.98783,                0.67273,                 1.2242,                0.53335,                 1.4751,              0.0075085,              0.0075085,              0.0075085
                    153,                 1.1739,                0.52519,                 1.2692,                0.94614,                0.95015,                0.98081,                0.66546,                 1.2517,                0.56815,                 1.4821,               0.007492,               0.007492,               0.007492
                    154,                 1.1532,                0.52383,                 1.2845,                 0.9566,                 0.9595,                0.98571,                0.69059,                 1.1924,                0.51819,                 1.4342,              0.0074755,              0.0074755,              0.0074755
